,0
231,variar
232,forragem
233,folha
234,cru
235,multípara
236,desaleitamento
237,fazenda
238,depois
239,gene
240,alimentar
241,desinfetante
242,aleitamento
243,xaraés
244,diferentes
245,puros
246,adicionar
247,aaveia
248,inseminaçõe
249,lactaçõe
250,aveia
251,poderem
252,ovo
253,responsáveis
254,adubo
255,inverno
256,linhagen
257,estratégico
258,nlemfuensis
259,programa
260,rotina
261,arborização
262,preventivamente
263,alimentada
264,antibiótico
265,anual
266,setor
267,podendo
268,frequência
269,melhorar
270,dna
271,secreçõe
272,bemestar
273,pequenas
274,fasciolose
275,modificado
276,excesso
277,retorno
278,percentuais
279,nascimento
280,cestoide
281,durante
282,indicadores
283,tanque
284,inseminação
285,fósforo
286,disponibilidade
287,mastite
288,é
289,combate
290,essenciais
291,indica
292,esterco
293,sulco
294,exame
295,abaixo
296,entender
297,leite
298,serviço
299,produto
300,mistura
301,tipo
302,produtivo
303,normal
304,modo
305,dupla
306,incluem
307,calor
308,fêmeas
309,ph
310,zebuínas
311,estiverem
312,tratar
313,terapia
314,importante
315,deve
316,superfície
317,poucos
318,diarreia
319,pb
320,currai
321,contraindicação
322,coberta
323,composição
324,dejeto
325,biossólido
326,limites
327,selecionado
328,realizar
329,árvore
330,solo
331,dado
332,categoria
333,recomendado
334,com
335,para
336,cobalto
337,magnésio
338,ingestão
339,causa
340,ocupação
341,nutricional
342,as
343,bezerros
344,forem
345,topografia
346,usualmente
347,estratégia
348,causar
349,correção
350,oideal
351,libido
352,arbusto
353,manejo
354,horário
355,grau
356,problema
357,lagoa
358,sintoma
359,ideal
360,dactylon
361,peletizado
362,colonião
363,resíduo
364,rebanhos
365,contaminação
366,clínicos
367,manhã
368,princípios
369,recuperação
370,mestiças
371,podem
372,região
373,embrapa
374,braquiária
375,clones
376,limpa
377,estação
378,existem
379,caso
380,equipamento
381,substituir
382,por
383,vermifugar
384,andrológico
385,melhor
386,capacidade
387,botijão
388,calórico
389,mecânica
390,contaminada
391,intramamária
392,nutricionais
393,nesses
394,aglomeraçõe
395,cigarrinha
396,forrageira
397,identificação
398,qual
399,alto
400,corpo
401,cria
402,teor
403,balancear
404,submetida
405,organismo
406,usando
407,óleo
408,literatura
409,eimeriose
410,assim
411,adequada
412,pré
413,psicrotróficas
414,útil
415,contudo
416,gramínea
417,objetivo
418,d
419,essa
420,novilha
421,estoloníferas
422,seja
423,desvantagem
424,estrela
425,intoxicação
426,norma
427,corporais
428,sucedâneos
429,parte
430,nutrientes
431,irrigação
432,esperar
433,respeito
434,casos
435,gir
436,juntamente
437,pastejo
438,agente
439,aborto
440,microrganismos
441,fenação
442,pastagem
443,tanzânia
444,benefício
445,planejamento
446,europeu
447,genético
448,capineira
449,garantir
450,ndt
451,gestante
452,infecçõe
453,cérvix
454,clonagem
455,confinamento
456,ocorrer
457,transporte
458,desinfecção
459,úmido
460,nívei
461,médico
462,pasteurização
463,fatores
464,química
465,leguminosa
466,lactação
467,fornecê
468,demoram
469,ovário
470,adultos
471,remoção
472,matéria
473,volumoso
474,aconselha
475,fornecido
476,planta
477,químico
478,inflorescência
479,ocorte
480,lactose
481,passo
482,primeiras
483,basilisk
484,dada
485,mombaça
486,base
487,convencional
488,mãe
489,adotado
490,total
491,tomada
492,bula
493,sistema
494,capim
495,recomenda
496,zebuíno
497,obter
498,o
499,fonte
500,retirar
501,afetar
502,digestibilidade
503,negativo
504,acidez
505,infestaçõe
506,apresentam
507,quais
508,glândula
509,desenvolvimento
510,indicada
511,animai
512,vitro
513,concentração
514,produtor
515,tropicais
516,interior
517,magra
518,célula
519,toalha
520,encontrado
521,decisõe
522,cavalo
523,impacto
524,tabela
525,fertilidade
526,n
527,quantos
528,geralmente
529,característica
530,raçõe
531,animal
532,prestam
533,produtividade
534,crônica
535,maximizar
536,freezer
537,polpa
538,fundamental
539,relacionado
540,gênero
541,tolerância
542,inicialmente
543,adubação
544,ausência
545,preparo
546,droga
547,etc
548,formação
549,lácteos
550,um
551,tristeza
552,tóxicas
553,viável
554,carrapatos
555,depende
556,cultivo
557,existe
558,facilidade
559,cruzamento
560,provocar
561,bebedouro
562,tratado
563,genética
564,aumento
565,primeiros
566,gordura
567,quando
568,voluntário
569,úbere
570,semente
571,entretanto
572,tricross
573,manejado
574,ordenha
575,artificial
576,produção
577,vida
578,vantagen
579,arquitetura
580,padrão
581,onerosos
582,sujos
583,somatotropina
584,ração
585,sementes
586,e
587,cultura
588,microrganismo
589,estresse
590,acima
591,rufião
592,gratuitamente
593,manutenção
594,superpastejo
595,prática
596,resultado
597,envolvido
598,dp
599,mesma
600,cerrado
601,carrapato
602,copa
603,precoce
604,práticos
605,causada
606,chuvosa
607,peso
608,mortalidade
609,consumida
610,spp
611,técnica
612,operacional
613,quai
614,bezerreiro
615,melhoramento
616,dor
617,cultivare
618,faixa
619,chifre
620,pastagen
621,apresenta
622,parentais
623,aumenta
624,molecular
625,vermifugação
626,tifton
627,encontrada
628,misturar
629,brachiaria
630,diversas
631,inflamação
632,sincronização
633,suplemento
634,acasalamento
635,lo
636,vivos
637,piso
638,secar
639,crescimento
640,colostro
641,mocho
642,pennisetum
643,ordenhada
644,estabelecimento
645,armazenar
646,vermífugo
647,saturação
648,ocorre
649,confiabilidade
650,cultivares
651,incidência
652,reprodução
653,bruta
654,consumo
655,nutriente
656,rúman
657,residual
658,mecânico
659,dose
660,persistência
661,fornecimento
662,de
663,útero
664,africana
665,processamento
666,gestação
667,considerando
668,melhoria
669,bacteriana
670,fornecer
671,compactação
672,duração
673,fermentação
674,rebanho
675,enxertada
676,ssps
677,atingir
678,utilização
679,clínica
680,anuais
681,retirada
682,durabilidade
683,devido
684,retenção
685,fdn
686,eliminar
687,principalmente
688,paí
689,açúcar
690,energia
691,efetiva
692,população
693,transferência
694,maximum
695,bicheira
696,calagem
697,brasil
698,secagem
699,melhoradore
700,concentrado
701,resíduos
702,bezerro
703,térmico
704,invasora
705,pta
706,raíze
707,baixada
708,influência
709,bovina
710,enfermidade
711,instalação
712,seca
713,inseto
714,aumentar
715,bactéria
716,holandês
717,completa
718,recurso
719,premunição
720,transmitir
721,equilíbrio
722,seres
723,medicamento
724,método
725,febre
726,reprodutivos
727,evitado
728,touros
729,manteiga
730,alteraçõe
731,encerra
732,fase
733,vagina
734,afetado
735,diário
736,individual
737,fibra
738,artificialmente
739,s
740,infecciosa
741,ia
742,mínimo
743,criado
744,piquete
745,espermatozoide
746,fosfato
747,distribuída
748,semeadura
749,cobrir
750,banco
751,alimentação
752,muitas
753,adistribuição
754,curral
755,conhecer
756,babesia
757,plantada
758,fotossensibilização
759,lama
760,sendo
761,temperatura
762,milho
763,desmama
764,alumínio
765,ambiente
766,tornam
767,cruza
768,minerais
769,recomendação
770,importância
771,desaparecimento
772,avaliar
773,parasitismo
774,aptidão
775,medo
776,legislação
777,adubada
778,aplicar
779,indicadore
780,são
781,realizado
782,indústria
783,causador
784,alizarol
785,considerado
786,criadores
787,espécie
788,seguinte
789,quente
790,via
791,proteína
792,corte
793,extrato
794,ccs
795,sêman
796,orufião
797,recomendaçõe
798,insumo
799,revacinar
800,consequência
801,taxon
802,resposta
803,médias
804,apresentar
805,em
806,rotativo
807,químicas
808,contribuir
809,estimado
810,presença
811,descanso
812,doença
813,concreto
814,orgânico
815,quartos
816,vaginal
817,silagem
818,utilizado
819,eficiência
820,declive
821,efetivo
822,realiza
823,recomendada
824,máquina
825,volume
826,produzem
827,forma
828,fornecida
829,carne
830,suporte
831,monta
832,abrigo
833,lodo
834,sombreamento
835,proteico
836,quentes
837,possibilita
838,aspectos
839,período
840,leiteira
841,êxito
842,sabor
843,leguminosas
844,cultivar
845,pive
846,baixa
847,principais
848,reprodutor
849,carrapaticida
850,econômicos
851,voltar
852,guzerá
853,intramamárias
854,outro
855,alimento
856,rodízio
857,degradada
858,ogm
859,embriõe
860,mostra
861,macho
862,atividade
863,panicum
864,odor
865,portanto
866,necessitam
867,geração
868,higiene
869,desempenho
870,in
871,microbiana
872,dano
873,sindi
874,aplicação
875,receptora
876,mosca
877,utilizar
878,uso
879,anormais
880,provoca
881,ocorrência
882,auxilia
883,sobreordenha
884,fuste
885,crioscopia
886,melhores
887,além
888,criar
889,placenta
890,alta
891,empregado
892,inseminada
893,secos
894,homogeneização
895,congelado
896,humanos
897,pc
898,subclínica
899,orientação
900,produtos
901,principal
902,mineral
903,ureia
904,cynodon
905,reprodutivo
906,prevenção
907,umidade
908,forrageiras
909,reduzir
910,potencial
911,vantagem
912,demora
913,alfafa
914,sombreado
915,como
916,inicial
917,será
918,silos
919,cros
920,dura
921,arbóreas
922,porém
923,normalmente
924,detectar
925,cuidadosamente
926,teste
927,mamária
928,significa
929,recuperar
930,chamado
931,mestiço
932,permite
933,válida
934,raça
935,garupa
936,infestação
937,custo
938,efetivos
939,natural
940,moet
941,média
942,cerca
943,altura
944,área
